This file lists the wavelength (W) in Angstroem and photon flux (F)
in 1E10 m-2 s-1, followed by the line/range identification for the 
specific wavelength group. -------------------- 12/15/94/dkb

     W        F
   14.25      .1FE XVIII
   14.40      .1FE XVIII
   15.01      .3FE XVII
   15.26      .3FE XVII
   16.01      .2 O VIII
   16.77      .4FE XVII
   17.05      .4FE XVII
   17.11      .8FE XVI
   18.62      .2 O VII
   18.97     1.6 O VIII
   21.60      .9 O VII
   21.80      .4 O VII
   22.10      .9 O VII
   28.47     1.6 C VI
   28.79     3.2 N VI
   29.52     2.8 N VI
   30.02      .7UNSPEC'D
   30.43     2.1 S XIV
   33.74     3.6 C VI
   40.95     1.5SI XII
   43.76     3.4SI XI
   44.02     1.9SI XII
   44.16     2.4SI XII
   45.66     1.2SI XII
   46.40     4.3SI XI
   46.67     3.2UNSPEC'D
   47.87     3.6UNSPEC'D
   49.22     6.9SI XI
   50.36      .9FE XVI
   50.52     7.3SI X
   50.69     7.3SI X
   52.30     4.5SI XI
   52.91     1.1FE XV
   54.15     5.3BLEND
   54.42     2.3UNSPEC'D
   54.70      .8FE XVI
   55.06     2.8MG IX
   55.34     8.9SI IX
   56.08     2.0 S IX
   56.92     4.8UNSPEC'D
   57.36     4.0UNSPEC'D
   57.56     3.2UNSPEC'D
   57.88     3.4MG X
   58.96     2.9FE XIV
   59.62     2.8FE XIV
   60.30     2.0UNSPEC'D
   60.85     2.9UNSPEC'D
   61.07     5.2SI VIII
   61.63     2.4 S VIII
   61.90     4.0BLEND
   62.30      .1NE VIII
   62.35     1.9FE XII
   62.77     3.0MG IX
   62.92      .7FE XVI
   63.16     3.3MG X
   63.30     5.3MG X
   63.65     3.3UNSPEC'D
   63.72      .9FE XVI
   64.11     3.1FE XIII
   64.60     2.0UNSPEC'D
   65.21     2.4UNSPEC'D
   65.71     3.3UNSPEC'D
   65.85     2.9MG X
   66.30     6.7FE XII
   67.14     2.6MG IX
   67.35     3.4FE XII
   68.35     1.8UNSPEC'D
   69.65    11.0UNSPEC'D
   70.00     1.1FE XV
   70.54     2.6UNSPEC'D
   70.75     2.4UNSPEC'D
   71.00     3.5UNSPEC'D
   71.94     6.2FE XIV
   72.31     5.1BLEND
   72.63     1.9FE XI
   72.80     1.7UNSPEC'D
   72.95     2.7UNSPEC'D
   73.55     2.9NE VIII
   74.21     2.0UNSPEC'D
   74.44     1.0UNSPEC'D
   74.83     3.2BLEND
   75.03     4.1MG VIII
   75.29     2.0UNSPEC'D
   75.46     3.0UNSPEC'D
   75.73     2.0UNSPEC'D
   76.01     8.0FE XIII
   76.48     2.8FE XIII
   76.83     3.3BLEND
   76.94     2.6UNSPEC'D
   77.30     2.3UNSPEC'D
   77.74     3.4MG IX
   78.56     2.4UNSPEC'D
